Key;English;German (de);French (fr);Spanish (es);Polish (pl);Swiss German (gsw);Notes
Key;English;German (de);French (fr);Spanish (es);Polish (pl);Swiss German (gsw);Notes
changes.implementationTracker.title;Implementation Tracking;Implementierungsverfolgung;Suivi de la mise en œuvre;Seguimiento de la implementación;Śledzenie wdrożenia;Ymplementierigsvärfolgig;
changes.implementationTracker.changeRequest;Change Request;Änderungsanforderung;Demande de modification;Solicitud de cambio;Żądanie zmiany;Änderigsaforderig;
changes.implementationTracker.assignedTo;Assigned to;Zugewiesen an;Attribué à;Asignado a;Przypisane do;Zuegwise an;
changes.implementationTracker.overallProgress;Overall Progress;Gesamtfortschritt;Progression globale;Progreso general;Ogólny postęp;Gesamtfortschritt;
changes.implementationTracker.daysRemaining;Days Remaining;Verbleibende Tage;Jours restants;Días restantes;Pozostałe dni;Verbleibendi Täg;
changes.implementationTracker.scheduleStatus;Schedule Status;Zeitplanstatus;État du calendrier;Estado del calendario;Status harmonogramu;Ziitplanstatus;
changes.implementationTracker.implementationProgress;Implementation Progress;Implementierungsfortschritt;Progression de la mise en œuvre;Progreso de la implementación;Postęp wdrożenia;Ymplementierigsforschritt;
changes.implementationTracker.complete;Complete;Abgeschlossen;Terminé;Completo;Zakończone;Abgschlosse;
changes.implementationTracker.tabs.overview;Overview;Übersicht;Aperçu;Descripción general;Przegląd;Übersicht;
changes.implementationTracker.tabs.tasks;Tasks;Aufgaben;Tâches;Tareas;Zadania;Aufgabe;
changes.implementationTracker.tabs.gantt;Gantt Chart;Gantt-Diagramm;Diagramme de Gantt;Diagrama de Gantt;Wykres Gantta;Gantt-Diagramm;
changes.implementationTracker.tabs.milestones;Milestones;Meilensteine;Jalons;Hitos;Kamienie milowe;Meilesteine;
changes.implementationTracker.tabs.progress;Progress Notes;Fortschrittsnotizen;Notes sur la progression;Notas de progreso;Notatki dotyczące postępów;Forschrittsnote;
changes.implementationTracker.summary.totalTasks;Total Tasks;Gesamtzahl der Aufgaben;Total des tâches;Total de tareas;Łączna liczba zadań;Gesamtzahl der Aufgabe;
changes.implementationTracker.summary.completed;Completed;Abgeschlossen;Terminées;Completadas;Zakończone;Abgschlosse;
changes.implementationTracker.summary.inProgress;In Progress;In Bearbeitung;En cours;En curso;W trakcie realizacji;In Bearbeitig;
changes.implementationTracker.summary.pending;Pending;Ausstehend;En attente;Pendiente;Oczekujące;Ausstehend;
changes.implementationTracker.scheduleStatusSection.title;Schedule Status;Zeitplanstatus;État du calendrier;Estado del calendario;Status harmonogramu;Ziitplanstatus;
changes.implementationTracker.scheduleStatusSection.plannedEndDate;Planned End Date;Geplantes Enddatum;Date de fin prévue;Fecha de finalización prevista;Planowana data zakończenia;Geplantes Enddatum;
changes.implementationTracker.scheduleStatusSection.projectedEndDate;Projected End Date;Prognostiziertes Enddatum;Date de fin estimée;Fecha de finalización proyectada;Przewidywana data zakończenia;Prognostizierts Enddatum;
changes.implementationTracker.scheduleStatusSection.scheduleVariance;Schedule Variance;Zeitplanabweichung;Écart par rapport au calendrier;Variación del calendario;Odchylenie od harmonogramu;Ziitplanabweichig;
changes.implementationTracker.scheduleStatusSection.days;days;Tage;jours;días;dni;Täg;
changes.implementationTracker.deviations.title;Active Deviations;Aktive Abweichungen;Écarts actifs;Desviaciones activas;Aktywne odchylenia;Aktivi Abweichige;
changes.implementationTracker.deviations.count;Active Deviations ({count});Aktive Abweichungen ({Anzahl});Écarts actifs ({count});Desviaciones activas ({count});Aktywne odchylenia ({liczba});Aktivi Abweichige ({Zahl});
changes.implementationTracker.tasks.title;Implementation Tasks;Implementierungsaufgaben;Tâches de mise en œuvre;Tareas de implementación;Zadania wdrożeniowe;Ymplementierigsaufgabe;
changes.implementationTracker.tasks.addTask;Add Task;Aufgabe hinzufügen;Ajouter une tâche;Añadir tarea;Dodaj zadanie;Aufgab hinzuefüege;
changes.implementationTracker.tasks.taskNumber;#{number};#{Anzahl};#{number};#{number};#{liczba};#{Zahl};
changes.implementationTracker.tasks.assignedTo;Assigned to;Zugewiesen an;Attribué à;Asignado a;Przypisane do;Zuegwise an;
changes.implementationTracker.tasks.estimated;estimated;geschätzt;estimé;estimado;szacowane;gschätzt;
changes.implementationTracker.tasks.actual;actual;tatsächlich;réel;real;rzeczywiste;tätsächlich;
changes.implementationTracker.tasks.progress;Progress;Fortschritt;Avancement;Progreso;Postęp;Forschritt;
changes.implementationTracker.tasks.dependencies;Dependencies;Abhängigkeiten;Dépendances;Dependencias;Zależności;Abhängigkeite;
changes.implementationTracker.tasks.dependenciesCount;{count} task(s);{Anzahl} Aufgabe(n);{count} tâche(s);{count} tarea(s);{liczba} zadanie(a);{Zahl} Aufgab(e);
changes.implementationTracker.tasks.deliverables;Deliverables;Ergebnisse;Livrables;Entregables;Wyniki;Ergebnis;
changes.implementationTracker.tasks.updateProgress;Update Progress;Fortschritt aktualisieren;Mettre à jour l'avancement;Actualizar progreso;Aktualizuj postęp;Forschritt aktualisiere;
changes.implementationTracker.gantt.title;Gantt Chart View;Gantt-Diagramm anzeigen;Affichage du diagramme de Gantt;Vista del diagrama de Gantt;Widok wykresu Gantta;Gantt-Diagramm aazeige;
changes.implementationTracker.gantt.task;Task;Aufgabe;Tâche;Tarea;Zadanie;Aufgab;
changes.implementationTracker.milestones.title;Implementation Milestones;Meilensteine der Umsetzung;Jalons de mise en œuvre;Hitos de implementación;Kamienie milowe wdrożenia;Meilesteine der Umsetzig;
changes.implementationTracker.milestones.addMilestone;Add Milestone;Meilenstein hinzufügen;Ajouter un jalon;Añadir hito;Dodaj kamień milowy;Meilestein hinzuefüege;
changes.implementationTracker.milestones.target;Target;Ziel;Cible;Objetivo;Cel;Ziel;
changes.implementationTracker.milestones.actual;Actual;Tatsächlich;Réel;Real;Rzeczywiste;Tätsächlich;
changes.implementationTracker.progressNotes.title;Progress Notes;Fortschrittsnotizen;Notes d'avancement;Notas de progreso;Notatki dotyczące postępu;Forschrittsnote;
changes.implementationTracker.progressNotes.addNote;Add Note;Notiz hinzufügen;Ajouter une note;Añadir nota;Dodaj notatkę;Notiz hinzuefüege;
changes.implementationTracker.progressNotes.progress;Progress;Fortschritt;Avancement;Progreso;Postęp;Forschritt;
changes.implementationTracker.progressModal.title;Update Progress;Fortschritt aktualisieren;Mettre à jour l'avancement;Actualizar progreso;Aktualizuj postęp;Forschritt aktualisiere;
changes.implementationTracker.progressModal.progressPercentage;Progress Percentage;Fortschrittsprozentsatz;Pourcentage d'avancement;Porcentaje de progreso;Procent postępu;Forschrittsprozentsatz;
changes.implementationTracker.progressModal.actualEffortHours;Actual Effort Hours;Tatsächlicher Zeitaufwand;Heures de travail réelles;Horas de esfuerzo reales;Rzeczywiste godziny pracy;Tätsächlicher Ziitaufwand;
changes.implementationTracker.progressModal.progressNotes;Progress Notes;Fortschrittsnotizen;Notes d'avancement;Notas de progreso;Notatki dotyczące postępu;Forschrittsnote;
changes.implementationTracker.progressModal.notesPlaceholder;Add notes about progress, issues, or achievements...;Notizen zu Fortschritt, Problemen oder Erfolgen hinzufügen...;Ajouter des notes sur l'avancement, les problèmes ou les réalisations...;Añadir notas sobre el progreso, los problemas o los logros...;Dodaj notatki dotyczące postępu, problemów lub osiągnięć...;Notize zu Forschritt, Probleme oder Erfolge hinzuefüege...;
changes.implementationTracker.progressModal.cancel;Cancel;Abbrechen;Annuler;Cancelar;Anuluj;Abbreche;
changes.implementationTracker.progressModal.update;Update Progress;Fortschritt aktualisieren;Mettre à jour la progression;Actualizar progreso;Aktualizuj postęp;Forschritt aktualisiere;
changes.implementationTracker.resourceAllocation.title;Resource Allocation;Ressourcenzuweisung;Allocation des ressources;Asignación de recursos;Alokacja zasobów;Ressourcen-zuewisig;
changes.implementationTracker.resourceAllocation.addResource;Add Resource;Ressource hinzufügen;Ajouter une ressource;Añadir recurso;Dodaj zasób;Ressource hinzuefüege;
changes.implementationTracker.resourceAllocation.totalResources;Total Resources;Gesamtressourcen;Total des ressources;Recursos totales;Łączne zasoby;Gesamtressourcen;
changes.implementationTracker.resourceAllocation.totalAllocatedHours;Total Allocated Hours;Gesamtzugewiesene Stunden;Total des heures allouées;Total de horas asignadas;Łączna liczba przydzielonych godzin;Gesamtzuegwise Stund;
changes.implementationTracker.resourceAllocation.totalCost;Total Cost;Gesamtkosten;Coût total;Coste total;Łączny koszt;Gesamtkoste;
changes.implementationTracker.resourceAllocation.resource;Resource;Ressource;Ressource;Recurso;Zasób;Ressource;
changes.implementationTracker.resourceAllocation.type;Type;Typ;Type;Tipo;Typ;Typ;
changes.implementationTracker.resourceAllocation.allocation;Allocation;Zuweisung;Allocation;Asignación;Alokacja;Zuewisig;
changes.implementationTracker.resourceAllocation.utilization;Utilization;Auslastung;Utilisation;Utilización;Wykorzystanie;Auslastig;
changes.implementationTracker.resourceAllocation.cost;Cost;Kosten;Coût;Coste;Koszt;Koste;
changes.implementationTracker.resourceAllocation.period;Period;Zeitraum;Période;Periodo;Okres;Ziitraum;
changes.implementationTracker.resourceAllocation.allocated;allocated;zugewiesen;allouées;asignadas;przydzielone;zuegwise;
changes.implementationTracker.resourceAllocation.utilized;utilized;ausgelastet;utilisées;utilizadas;wykorzystane;ausglastet;
changes.implementationTracker.resourceAllocation.total;total;gesamt;total;total;łącznie;gesamt;
changes.implementationTracker.resourceAllocation.noResources;No resources allocated;Keine Ressourcen zugewiesen;Aucune ressource allouée;No hay recursos asignados;Brak przydzielonych zasobów;Keini Ressourcen zuegwise;
changes.implementationTracker.resourceAllocation.getStarted;Get started by adding resources to this implementation.;Beginnen Sie, indem Sie dieser Implementierung Ressourcen hinzufügen.;Commencez par ajouter des ressources à cette mise en œuvre.;Empiece añadiendo recursos a esta implementación.;Rozpocznij od dodania zasobów do tej implementacji.;Fang a mit Ressourcen zuefüege zu derer Ymplementierig.;
changes.implementationTracker.resourceAllocation.addResourceModal.title;Add Resource;Ressource hinzufügen;Ajouter une ressource;Añadir recurso;Dodaj zasób;Ressource hinzuefüege;
changes.implementationTracker.resourceAllocation.addResourceModal.resourceType;Resource Type;Ressourcentyp;Type de ressource;Tipo de recurso;Typ zasobu;Ressourcetyp;
changes.implementationTracker.resourceAllocation.addResourceModal.resourceName;Resource Name;Ressourcenname;Nom de la ressource;Nombre del recurso;Nazwa zasobu;Ressourcennaam;
changes.implementationTracker.resourceAllocation.addResourceModal.resourceNamePlaceholder;Enter resource name;Ressourcennamen eingeben;Entrer le nom de la ressource;Introduzca el nombre del recurso;Wprowadź nazwę zasobu;Ressourcennaam iigäbe;
changes.implementationTracker.resourceAllocation.addResourceModal.allocatedHours;Allocated Hours;Zugewiesene Stunden;Heures allouées;Horas asignadas;Przydzielone godziny;Zuegwise Stund;
changes.implementationTracker.resourceAllocation.addResourceModal.costPerHour;Cost per Hour;Kosten pro Stunde;Coût par heure;Coste por hora;Koszt za godzinę;Koste pro Stund;
changes.implementationTracker.resourceAllocation.addResourceModal.startDate;Start Date;Startdatum;Date de début;Fecha de inicio;Data rozpoczęcia;Startdatum;
changes.implementationTracker.resourceAllocation.addResourceModal.endDate;End Date;Enddatum;Date de fin;Fecha de finalización;Data zakończenia;Enddatum;
