FI Doc No;FI Doc Date;Posting Date;Document Type;Document Type Desc;PO No;PO Line No;Vendor;Vendor Description;Vendor Invoice No;Project Nr.;Project Description;WBS;WBS Description;G/L Account;G/L Account Desc;Cost Center;Cost Center Desc;Product Desc;Item Text;Document Header Text;Payment Terms;Net Due Date;Invoice Amount Legal Entity currency;Creation date;SAP Invoice No.;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Legal Entity Currency Code;Value in document currency;Document currency Code;Quantity;Personnel Number;PO Final Invoice indicator;Value Type;Miro Invoice #;Goods Received Value
616403179012153622020;2020-01-14;2020-01-29;;;;0;;-;;C.32.01705.444.0;;C.32.01705.444.052.131;PM und Services Intern;;;;;;;;;;1280.00;;4880335;capex;5;5.2;5.2.13-C;EUR;1280.00;EUR;20.000;0;;;4880335;
616401259984870012021;2021-02-08;2021-02-08;WE;Goods receipt;9110173812;1;10115610;SIEMENS AG;;C.32.01705.444.0;;C.32.01705.444.044.131;Automatisierungsinstallation;212203801;DIA GR/IR NON-TRADE;;;;LIABPP/ PA010 Lizenzen PCS7;;;;47015.91;;5004610286;capex;4;4.4;4.4.13-C;EUR;47015.91;EUR;0;0;N;;5004610286;
616401325345970012022;2022-04-14;2022-04-14;WE;Goods receipt;9110187916;1;10111617;DOBLER GMBH & CO KG;;C.32.02654.233.0;;C.32.02654.233.028.331;Innenausbau DXREA (Inv);212203801;DIA GR/IR NON-TRADE;;;;LS233P Baumeisterarbeiten (Invest);;;;-3000.00;;5005902860;capex;2;2.8;2.8.33-C;EUR;-3000.00;EUR;0;0;N;;5005902860;
616403166330980922019;2019-07-08;2019-07-29;;;;0;;-;;C.32.01705.444.0;;C.32.01705.444.052.131;PM und Services Intern;;;;;;;;;;104.00;;4255341;capex;5;5.2;5.2.13-C;EUR;0.00;;1.000;0;;;4255341;
616401177155150032019;2019-05-22;2019-05-22;WE;Goods receipt;6000474250;70;10117706;AIRITSYSTEMS GMBH;;C.32.01705.444.0;;C.32.01705.444.062.131;PM und Services Extern;212203801;DIA GR/IR NON-TRADE;;;;1NT LIABPP/NE010 Awaro 02-05/19;;;;200.00;;5003013861;capex;6;6.2;6.2.13-C;EUR;200.00;;0;0;N;;5003013861;
616401208371290032020;2020-01-31;2020-02-01;EI;;2110927234;3;10001084;VWR INTERNATIONAL GM;0000004872273261;C.32.01705.444.0;;C.32.01705.444.073.999;Sonstige Nebenkosten;;;3253510372;DOZC Gen. Mfg Cost;;VOLLSICHTBRILLE GEAR 500 SCOTCHGARD;;60 DAYS NET;2020-03-31;23.80;;5107883509;capex;0;0.0;0.0.00-O;EUR;23.80;EUR;0;0;N;;5107883509;0.00
616401231469000012020;2020-07-24;2020-07-24;WE;Goods receipt;6000487152;50;10020839;TIBA MANAGEMENTBERAT;;C.32.01705.444.0;;C.32.01705.444.062.131;PM und Services Extern;212203801;DIA GR/IR NON-TRADE;;;;4. NA LIABPP/ PS600 PS CC;;;;2000.00;;5004066742;capex;6;6.2;6.2.13-C;EUR;2000.00;EUR;0;0;N;;5004066742;
616403243691400052022;2022-04-29;2022-04-29;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.131;Roche Team PM & Service;;;;;;;;;;204.00;;7832057;capex;5;5.2;5.2.13-C;EUR;204.00;EUR;3.000;0;;;7832057;
616402023221120022020;2020-09-07;2020-09-07;;;;0;;-;;C.32.01705.444.0;;C.32.01705.444.073.999;Sonstige Nebenkosten;;;;;;RG 001528 01.09.2020 v.16.08 - 28.08.2020;;;;0.00;;;capex;0;0.0;0.0.00-O;EUR;27.43;EUR;0;0;;;;
616403247663222272022;2022-06-21;2022-06-21;;;;0;;-;;C.32.03028.651.0;;C.32.03028.651.052.131;Roche Team PM & Service;;;;;;;;;;3060.00;;8002546;capex;5;5.2;5.2.13-C;EUR;3060.00;EUR;20.000;0;;;8002546;
616403183081240952020;2020-02-24;2020-03-24;;;;0;;-;;C.32.01705.444.0;;C.32.01705.444.081.101;Stunden Userteam (Invest);;;;;;;;;;6536.00;;5066959;capex;8;8.1;8.1.10-C;EUR;6536.00;EUR;76.000;0;;;5066959;
616401307489630012021;2021-12-14;2021-12-14;WE;Goods receipt;9110185369;2;10109669;JAKOB HAIBEL & CO.KG;;C.32.02654.233.0;;C.32.02654.233.029.119;Mobiliar (Kst)  DXREA;212203801;DIA GR/IR NON-TRADE;3251601683;Projekte CPS;;1. NT LS233P-Umzug Geb. 233;;;;2513.10;;5005545709;capex;2;2.9;2.9.11-O;EUR;2513.10;EUR;0;0;N;;5005545709;
616401207055930012020;2020-01-23;2020-01-23;WE;Goods receipt;6000487152;40;10020839;TIBA MANAGEMENTBERAT;;C.32.01705.444.0;;C.32.01705.444.062.131;PM und Services Extern;212203801;DIA GR/IR NON-TRADE;;;;3.NA LIABPP/PS600 PS DD;;;;1950.00;;5003581822;capex;6;6.2;6.2.13-C;EUR;1950.00;EUR;0;0;N;;5003581822;
616403221973183262021;2021-07-26;2021-07-29;;;;0;;-;;C.32.03028.999.0;;C.32.03028.999.052.139;PI - interne Planung;;;;;;;;;;0.00;;6854054;capex;5;5.2;5.2.13-O;EUR;294.00;EUR;0;0;;;6854054;
616401263051190012021;2021-02-25;2021-02-26;EI;;2110970779;1;10001084;VWR INTERNATIONAL GM;0000004873170691;C.32.01705.444.0;;C.32.01705.444.073.999;Sonstige Nebenkosten;;;3253510372;DOZC Gen. Mfg Cost;;UeBERSCHUH IMPERVIOUS BLAU XXL;;60 DAYS NET;2021-04-27;180.00;;5108531151;capex;0;0.0;0.0.00-O;EUR;180.00;EUR;0;0;N;;5108531151;0.00
616401169735880012019;2019-03-25;2019-03-25;WE;Goods receipt;6000500667;30;10114471;VTU ENGINEERING DEUT;;C.32.01705.444.0;;C.32.01705.444.062.111;Prozess Extern;212203801;DIA GR/IR NON-TRADE;;;;LIABPP/PP610 Planung Prozess Util. CD+BD;;;;7233.32;;5002867663;capex;6;6.2;6.2.11-C;EUR;7233.32;;0;0;N;;5002867663;
616401368362750012023;2023-02-20;2023-02-20;WE;Goods receipt;9110173412;1;10010270;LINDE GMBH;;C.32.01705.444.0;;C.32.01705.444.073.999;Sonstige Nebenkosten;212203801;DIA GR/IR NON-TRADE;3253510372;DOZC Gen. Mfg Cost;;Lecksuchspray MAt.Nr. 32523130 u.;;;;-43.10;2023-02-20;5006787526;capex;0;0.0;0.0.00-O;EUR;-43.10;EUR;0;0;N;;5006787526;
616401344778850012022;2022-09-02;2022-09-02;KP;Account maintenance;9110186343;1;10117953;ORTNER ANLAGENTECHNI;;C.32.02654.233.0;;C.32.02654.233.025.139;Lüftungsanlagen/Medien DXREA (Kst);212203801;DIA GR/IR NON-TRADE;3251601683;Projekte CPS;;LS233P-Lueftungsarb./Sanitaer/Medien;;;;920.21;;5400049169;capex;2;2.5;2.5.13-O;EUR;920.21;EUR;0;0;N;;5400049169;
616401294948370012021;2021-09-22;2021-09-22;WE;Goods receipt;9110187916;2;10111617;DOBLER GMBH & CO KG;;C.32.02654.233.0;;C.32.02654.233.028.339;Innenausbau DXREA (Kst);212203801;DIA GR/IR NON-TRADE;;;;LS233P Baumeisterarbeiten (Cost);;;;0.00;;5005295390;capex;2;2.8;2.8.33-O;EUR;12000.00;EUR;0;0;N;;5005295390;
616401292894950012021;2021-09-02;2021-09-07;IR;;2111095089;1;10110573;BECHTLE GMBH & CO KG;0000009354487626;C.32.02654.233.0;;C.32.02654.233.029.111;Mobiliar (Inv.)  DXREA;;;;;;LG 65UH5F UHD LED Display;;60 DAYS NET;2021-11-01;1268.45;;5108870501;capex;2;2.9;2.9.11-C;EUR;1268.45;EUR;0;0;N;;5108870501;0.00
616401307330750042021;2021-12-13;2021-12-13;WE;Goods receipt;9110188396;4;10111263;MW BUEROPLANUNG GMBH;;C.32.02654.233.0;;C.32.02654.233.029.119;Mobiliar (Kst)  DXREA;212203801;DIA GR/IR NON-TRADE;;;;LS233P-VACP40200;;;;0.00;;5005543220;capex;2;2.9;2.9.11-O;EUR;458.88;EUR;0;0;N;;5005543220;
616401318693740012022;2022-03-02;2022-03-02;WE;Goods receipt;9110167477;1;10113917;RICKINGER GMBH;;C.32.02649.341.1;;C.32.02649.341.128.339;Innenausbau DXRED (Kst);212203801;DIA GR/IR NON-TRADE;3251601683;Projekte CPS;;LS341P Malerarbeiten Geb. 341;;;;4982.66;;5005766034;capex;2;2.8;2.8.33-O;EUR;4982.66;EUR;0;0;N;;5005766034;
616403255363193232022;2022-09-26;2022-09-27;;;;0;;-;;C.32.03391.252.0;;C.32.03391.252.052.121;MSR Intern;;;;;;;;;;3520.00;;8339768;capex;5;5.2;5.2.12-C;EUR;3520.00;EUR;32.000;0;;;8339768;
616401260683140042021;2021-02-11;2021-02-11;WE;Goods receipt;6000553777;110;10114716;PHARMATECH ENGINEERI;;C.32.01705.444.0;;C.32.01705.444.062.141;Qualifizierung Extern;212203801;DIA GR/IR NON-TRADE;;;;8. NA LIABPP/ QU020 Quali CRs;;;;1177.50;;5004625010;capex;6;6.2;6.2.14-C;EUR;1177.50;EUR;0;0;N;;5004625010;
616401408931060012023;2023-12-14;2023-12-14;WE;Goods receipt;9110232979;2;10120232;KAEFER TECHNIK UND S;;C.32.03391.252.0;;C.32.03391.252.025.131;Lüftungsanlagen;212203801;DIA GR/IR NON-TRADE;;;;LS761P RLT-Leistungen Spuelmaschine;;;;3000.00;2023-12-14;5007623100;capex;2;2.5;2.5.13-C;EUR;3000.00;EUR;0;0;N;;5007623100;
616401454158500012024;2024-10-23;2024-10-23;WE;Goods receipt;9110235307;1;10112405;ENDRESS + HAUSER DEU;;C.32.03391.252.0;;C.32.03391.252.044.181;Prozessautomation;212203801;DIA GR/IR NON-TRADE;;;;LS761P Kalibrierung vor Ort;;;;20852.00;2024-10-23;5008556977;capex;4;4.4;4.4.18-C;EUR;20852.00;EUR;0;0;N;;5008556977;
