PO Number;PO Date;Vendor;Vendor Description;Requester;PO Created By;Shopping Cart Number;Project;Project Description;WBS Element;WBS Element Description;Cost Center;Cost Center Description;PO Net Amount;Tax Amount;Total Amount Legal Entity Currency;PO Line Nr.;PO Status;PO Line Text;Delivery Date;Legal Entity Currency Code;Value in document currency;Document currency code;Investment Profile;Account Group (Cora Level 1);Account Sub Group (Cora Level 2);Account (Cora Level 3);Change Date;Purchase requisition;Procurement Plant;Contract #;Joint Commodity Code;PO Title;Version;FI Doc No
P000814641;2024-07-01;10111255;FISHER SCIENTIFIC GMBH;MEXM1;MEXM1;;C.32.03666.300.1;;C.32.03666.300.100.110;LARGE & MID- SCALE ORG. SYNTHESIS;3253100214;DOZ MANAGEMENT;64.44;0.00;64.44;1;closed;METHYL BROMOACETATE 99% THERMO SCIENTIFIC CHEMICALS;2024-07-01;EUR;64.44;EUR;capex;0;0.0;0.0.00-C;2025-09-04;R100730404;4511;;X15050101;PO1 FOR METHYL BROMOACETAT;;6164P000814641000001C3203666300100110
P001353035;2025-06-12;10112628;C3 PROZESS- UND;BACHN3;BACHN3;;C.32.03666.300.2;;C.32.03666.300.200.100;C-EQUIPMENT;3253100214;DOZ MANAGEMENT;0.00;0.00;0.00;2;closed;Y-STUECK EXZENTRISCH FUER MINIPILOT10  VK810019717  *KULANZ*;2025-06-12;EUR;0.00;EUR;capex;0;0.0;0.0.00-C;2025-06-12;R101202003;4511;;X15100101;PO1 FOR Y-STÜCK EXZENTRISCH;;6164P001353035000002C3203666300200100
P000849877;2024-07-25;10007307;VOGELBUSCH BIOPHARMA GMBH;FRISCHMT;SPECKEA1;;C.32.02394.444.0;;C.32.02394.444.062.301;EXTERNE DIENSTLEISTUNGEN PROZESSTECHNIK;3253100214;DOZ MANAGEMENT;4550.00;0.00;4550.00;1;closed;SCHULUNGSTEILNEHMER:  TOBIAS SCHUCHTER +49 1525 4983955 E-M;2024-07-31;EUR;4550.00;EUR;capex;0;0.0;0.0.00-C;2025-09-03;R100761553;4511;;X20150000;PO1 FOR ANFRAGE FS INPUT SCTASK4906394;;6164P000849877000001C3202394444062301
2111256857;2022-11-28;10020070;YMC EUROPE GMBH;WROBELM;WROBELM;1004223194;C.32.03666.400.3;;C.32.03666.400.300.100;B-CONSUMABLES;3253100214;DOZ MANAGEMENT;22.00;0.00;22.00;10;open;K.P316-5;2022-12-09;EUR;22.00;EUR;capex;0;0.0;0.0.00-O;2022-11-28;;4511;;X15150106;WEIDLERS 25.11.2022 13:11:36;;61642111256857000010C3203666400300100
2111152577;2021-12-09;10414341;ETF SOLUTIONS GMBH;LENHARDP;LENHARDP;;C.32.00700.470.0;;C.32.00700.470.037.181;ECESRM-FÖRDEREINRICHTUNGEN;3253100035;DOMM MANAGEMENT;650.00;0.00;650.00;2;open;LIEFERUNG;2022-05-20;EUR;650.00;EUR;capex;0;0.0;0.0.00-C;2022-03-24;;4510;;X20150402;LENHARDP 04.12.2021 12:10:43;;61642111152577000002C3200700470037181
9110210281;2022-03-22;10110573;BECHTLE GMBH & CO KG;HILLMANB;EICHNERJ;1004023799;C.32.02052.221.0;;C.32.02052.221.044.131;IT INFRA;3252600090;WERKSCHUTZ PZ;233.25;0.00;233.25;2;open;ARTICONA USB A AKTIV-VERLÄNGERUNG 5 M;2022-03-31;EUR;233.25;EUR;capex;4;4.4;4.4.13-C;2023-08-25;;4511;;X40050105;UIMSP KABEL;;61649110210281000002C3202052221044131
P000751636;2024-05-17;10116369;ALTMANN GMBH;WANDELM;WANDELM;;C.32.02394.444.0;;C.32.02394.444.062.311;EXTERNE DIENSTLEISTUNGEN GEBÄUDETECHNIK;3253100214;DOZ MANAGEMENT;594.24;0.00;594.24;1;closed;GEB. 444 - NOTFALLREPARATUR GEM. RECHNUNG R21852479 V. 07.05;2024-05-16;EUR;594.24;EUR;capex;0;0.0;0.0.00-C;2025-08-06;R100668534;4510;;X20050000;PO1 FOR ALTMANN_RE R21852479_THALHAME;;6164P000751636000001C3202394444062311
P000422187;2023-10-11;10116956;SCHIENER BUERO FUER;FISCHA26;SVANET;;C.32.01618.444.0;;C.32.01618.444.073.141;DOKUMENTATION;3253100214;DOZ MANAGEMENT;1404.00;0.00;1404.00;1;open;GEBÄUDE 444 EBP2P ELT;2023-12-31;EUR;1404.00;EUR;capex;7;7.3;7.3.14-C;2023-10-11;R100362550;4511;;X20000000;PO1 FOR EBP2P PS012 FINALE DOKU ELT;;6164P000422187000001C3201618444073141
P000963891;2024-10-14;10407429;FESTO VERTRIEB GMBH & CO KG;KROELLA1;GABLERC1;;C.32.02319.470.2;;C.32.02319.470.235.161;HIPMOM_PP HARDWARE & ERSATZTEILE;3253100613;MFG MA - BUSINESS SUPPORT;399.00;0.00;399.00;1;open;CMMT-ST-MP-SK MATERIAL-NR.: 8202797 ANGEBOT 2201398363;2024-10-31;EUR;399.00;EUR;capex;0;0.0;0.0.00-C;2024-11-12;R100866930;4510;;X20100000;PO1 FOR HIPMOM / FESTO / KROELL;;6164P000963891000001C3202319470235161
6000562282;2019-04-05;10111617;DOBLER GMBH & CO KG;FISCHA26;SUTTNERK;;C.32.01618.444.0;;C.32.01618.444.013.211;BAUSTELLENEINRICHTUNG UND GERÜSTE;3253100214;DOZ MANAGEMENT;102269.81;0.00;102269.81;10;closed;EBP2P/ BA010-BA030 BAUSTELLENEINRICHTUNG;2020-10-31;EUR;102269.81;EUR;capex;1;1.3;1.3.21-C;2021-06-15;3138601685;4511;;X20050200;;;61646000562282000010C3201618444013211
